integrated_code,integrated_name,주요전공명,전문교과 관련 교과목,취업률_전체,취업률_남,취업률_여
7,아동가족학과,"유아교육론, 멀티미디어와 아동, 가족학 개론 , 아동행동관찰, 유아교육과정","지역 이해, 세계 문제와 미래 사회, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구, 인간 발달, 아동 복지, 영유아 건강, 안전, 영양 지도, 복지 서비스의 기초",67.6,64.9,68.3
13,도시건설과,"수리학, 응용역학, 토질기초공학, 측량학, CAD","심화수학IᆞII, 고급 수학IᆞII, 고급 물리학, 물리학 실험, 고급 화학, 화학 실험, 고급 지구과학, 지구과학 실험, 정보과학, 융합과학탐구, 과학과제 연구, 생태와 환경, 지역 이해, 사회과제 연구, 공간 정보 구축, 공간 정보 융합 서비스, 빅테이터 분석, 인간과 환경, 환경보전",81.3,78.7,92.9
21,게임공학과,"게임학기초, 게임자료구조, 게임알고리즘, 게임소프트웨어공학, 게임 기획","문학과 매체, 영상 제작의 이해, 매체미술, 드로잉, 사진 표현 기법, 사진영상편집, 사회과제 연구, 시나리오, 콘텐츠일반, 문화콘텐츠산업일반, 컴퓨터그래픽, 영상제작기초, 프로그래밍",69.3,69.5,69.0
22,경영정보과,"회계원리, 재무관리, 경제학원론, 마케팅원론, 정보시스템분석설계","정보과학, 국제 경제, 지역 이해, 세계 문제와 미래 사회, 사회 탐구 방법 및 사회과제 연구, 기업과 경영, 커뮤니케이션, 정보통신, 빅데이터 분석",68.0,70.4,65.9
23,경영학과,"인사관리, 마케팅관리, 기업윤리, 재무관리, 경영과학","심화 수학I, 정보과학, 국제 경제, 세계 문제와 미래 사회, 사회 탐구 방법 및 사회과제 연구, 기업과 경영, 회계 정보 처리 시스템, 금융 일반, 마케팅과 광고, 창업 일반, 커뮤니케이션, 유통 관리",68.5,70.3,66.6
24,경영회계정보과,"회계원리, 재무회계, 원가회계, 생산관리, 경영학원론","심화 수학I,II 고급수학I, II, 정보과학, 국제 경제, 사회 탐구 방법 및 사회과제 연구 , 회계 원리, 회계 정보 처리 시스템, 세무 일반, 국제 상무, 금융 일반, 보험 일반, 회계 실무",61.5,58.3,63.0
25,경제학과,"거시경제학, 게임이론, 경제발전연구, 재정학, 미시경제학","심화 수학 I,II, 고급 수학 I,II, 정보과학, 국제 경제, 국제법, 세계 문제와 미래 사회, 사회 탐구 방법 및 사회과제 연구, 상업 경제, 회계 정보 처리 시스템, 금융 일반, 마케팅과 광고, 창업 일반, 커뮤니케이션",62.4,63.1,61.6
26,경찰행정과,"경찰학개론, 경호무술, 형법총론, 경찰행정학, 범죄수사론","지역 이해, 세계 문제와 미래 사회, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구, 커뮤니케이션, 정보처리와 관리, 컴퓨터 보안, 정보 보호 관리, 빅데이터 분석",66.7,69.6,64.8
27,경찰행정학과,"경찰학개론, 경찰행정학과, 체포술, 범죄심리학, 형사소송법","지역 이해, 세계 문제와 미래 사회, 현대 세계의 변화, 사회 탐구 방법 및 사회과제 연구, 커뮤니케이션, 정보처리와 관리, 컴퓨터 보안, 정보 보호 관리, 빅데이터 분석",58.7,61.7,55.8
28,경호스포츠과,"경호실무, 경호무도, 민간경비론, 범죄학개론, 안전관리학","스포츠 개론, 체육 지도법, 체육 전공 실기 기초, 체육 전공 실기 심화, 체육 전공 실기 응용, 인체 구조와 기능, 간호의 기초",72.0,73.6,68.9
